Rank,Name,Franchise,basename,Genre,Platform,Publisher,Developer,Year,Random_Values,Estimated_Sales
1,Wii Sports,Undefined Franchise,wii-sports,Sports,Wii,Nintendo,Nintendo EAD,2006.0,0.9618908908273837,82.86
2,Super Mario Bros.,Mario,super-mario-bros,Platform,NES,Nintendo,Nintendo EAD,1985.0,0.6486418360349513,40.24
3,Mario Kart Wii,Mario,mario-kart-wii,Racing,Wii,Nintendo,Nintendo EAD,2008.0,0.4292070236669121,37.14
4,PlayerUnknown's Battlegrounds,Undefined Franchise,playerunknowns-battlegrounds,Shooter,PC,PUBG Corporation,PUBG Corporation,2017.0,0.08949434612350116,36.6
5,Wii Sports Resort,Undefined Franchise,wii-sports-resort,Sports,Wii,Nintendo,Nintendo EAD,2009.0,0.056380473922227115,33.09
6,Pokemon Red / Green / Blue Version,Pokemon,pokmon-red,Role-Playing,GB,Nintendo,Game Freak,1998.0,0.969797547257618,31.38
7,New Super Mario Bros.,Mario,new-super-mario-bros,Platform,DS,Nintendo,Nintendo EAD,2006.0,0.23977072464342075,30.8
8,Tetris,Tetris,tetris,Puzzle,GB,Nintendo,Bullet Proof Software,1989.0,0.28885178964398883,30.26
9,New Super Mario Bros. Wii,Mario,new-super-mario-bros-wii,Platform,Wii,Nintendo,Nintendo EAD,2009.0,0.50251613458265,30.22
10,Minecraft,Minecraft,minecraft,Misc,PC,Mojang,Mojang AB,2010.0,0.8184046109805562,30.01
11,Duck Hunt,Undefined Franchise,duck-hunt,Shooter,NES,Nintendo,Nintendo R&D1,1985.0,0.2698578435832276,28.31
12,Wii Play,Undefined Franchise,wii-play,Misc,Wii,Nintendo,Nintendo EAD,2007.0,0.5916905225642027,28.02
13,Kinect Adventures!,Undefined Franchise,kinect-adventures,Party,X360,Microsoft Game Studios,Good Science Studio,2010.0,0.481113329000053,24.0
14,Nintendogs,Nintendogs,nintendogs,Simulation,DS,Nintendo,Nintendo EAD,2005.0,0.028412116033514234,23.96
15,Mario Kart DS,Mario,mario-kart-ds,Racing,DS,Nintendo,Nintendo EAD,2005.0,0.036637299669449286,23.6
16,Pokemon Gold / Silver Version,Pokemon,pokmon-gold,Role-Playing,GB,Nintendo,Game Freak,2000.0,0.4346231632971076,23.1
17,Wii Fit,Undefined Franchise,wii-fit,Sports,Wii,Nintendo,Nintendo EAD,2008.0,0.39244913138752435,22.67
18,Wii Fit Plus,Undefined Franchise,wii-fit-plus,Sports,Wii,Nintendo,Nintendo EAD,2009.0,0.19832244221320994,21.13
19,Super Mario World,Mario,super-mario-world,Platform,SNES,Nintendo,Nintendo EAD,1991.0,0.1575465371112571,20.61
20,Grand Theft Auto V,Grand Theft Auto,grand-theft-auto-v,Action,PS3,Rockstar Games,Rockstar North,2013.0,0.3513993448788566,20.32
21,Grand Theft Auto V,Grand Theft Auto,grand-theft-auto-v,Action,PS4,Rockstar Games,Rockstar North,2014.0,0.5599031541224045,19.39
22,Brain Age: Train Your Brain in Minutes a Day,Brain Age,brain-age-train-your-brain-in-minutes-a-day,Misc,DS,Nintendo,Nintendo SDD,2006.0,0.928346323149775,19.01
23,Garry's Mod,Undefined Franchise,garrys-mod,Misc,PC,,Team Garry,2004.0,0.6411960346404704,18.58
24,Super Mario Land,Mario,super-mario-land,Platform,GB,Nintendo,Nintendo R&D1,1989.0,0.3805707176116966,18.14
25,Mario Kart 7,Mario,mario-kart-7,Racing,3DS,Nintendo,Nintendo EAD / Retro Studios,2011.0,0.8106013893488346,18.11
26,Pokemon Diamond / Pearl Version,Pokemon,pokmon-diamond,Role-Playing,DS,Nintendo,Game Freak,2007.0,0.6464763907646347,17.67
27,Grand Theft Auto: San Andreas,Grand Theft Auto,grand-theft-auto-san-andreas,Action,PS2,Rockstar Games,Rockstar North,2004.0,0.8785177360452416,17.3
28,Super Mario Bros. 3,Mario,super-mario-bros-3,Platform,NES,Nintendo,Nintendo R&D2,1990.0,0.03571867530526862,17.28
29,Pokemon X/Y,Pokemon,pokmon-x,Role-Playing,3DS,Nintendo,Game Freak,2013.0,0.8271044611781792,16.37
