,Year,Franchise,Genre,Platform,Publisher,Developer
0,2008,Undefined Franchise,Sports,PS3,Electronic Arts,EA Canada
1,1996,Undefined Franchise,Misc,PS,Acclaim Entertainment,Digital Illusions
2,2007,Undefined Franchise,Misc,DS,Konami,Konami
3,2007,Undefined Franchise,Misc,PS2,Activision,Zoe Mode
4,2018,Undefined Franchise,Simulation,PS4,Kalypso Media,Gaming Minds Studios
5,2003,Undefined Franchise,Racing,XB,Encore,King of the Jungle
6,2014,Undefined Franchise,Misc,PS3,Capcom,Capcom
7,2014,Undefined Franchise,Misc,PS3,Square Enix,nan
8,2009,Undefined Franchise,Strategy,PC,CDV Software Entertainment,07th Expansion
9,2011,Undefined Franchise,Misc,X360,Sega,Sega
10,2009,Undefined Franchise,Shooter,PC,1C Company,Farm 51
11,2007,Undefined Franchise,Action,Wii,Namco Bandai,Bandai Namco Games
12,2004,Undefined Franchise,Misc,GC,Crave Entertainment,Realtime Associates
13,2011,Undefined Franchise,Adventure,DS,nan,Avanquest Software
14,2018,Undefined Franchise,Action,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.
15,2008,Spider-Man,Action,X360,Activision,Shaba Games / Treyarch
16,2012,Ratchet & Clank,Action,PSV,Sony Computer Entertainment,Insomniac Games
17,2009,Undefined Franchise,Platform,PSP,Sony Computer Entertainment,Pyramid/JAPAN Studio
18,2003,Medal of Honor,Shooter,XB,Electronic Arts,EA Los Angeles
19,2009,Undefined Franchise,Misc,DS,Take-Two Interactive,Uacari
20,2003,Undefined Franchise,Shooter,PS2,Atari,Lost Toys
21,1999,Undefined Franchise,Fighting,PS,Jaleco,Xing Entertainment
22,2001,Undefined Franchise,Role-Playing,PS2,Atlus,Cattle Call
23,2011,Undefined Franchise,Shooter,PS3,THQ,Volition Inc.
24,1999,Undefined Franchise,Puzzle,PS,Hasbro Interactive,07th Expansion
25,2009,Undefined Franchise,Adventure,PC,Deep Silver,Fusionsphere Systems / Animation Arts
26,2008,Undefined Franchise,Strategy,DS,Sega,OmiyaSoft
27,2004,Undefined Franchise,Shooter,XB,Electronic Arts,Dreamworks Games
28,2000,Undefined Franchise,Racing,PS,Sony Computer Entertainment,Codemasters
29,2008,Undefined Franchise,Role-Playing,DS,Aksys Games,Sonic Powered
30,1995,Undefined Franchise,Platform,PC,Sega,Sonic Team
31,2002,Undefined Franchise,Misc,GC,Namco,Mass Media
32,2010,Undefined Franchise,Misc,Wii,Disney Interactive Studios,Artoon
33,2015,Undefined Franchise,Racing,XOne,Ubisoft,RedLynx
34,2014,Pokemon,Role-Playing,3DS,Nintendo,Game Freak
35,2007,Undefined Franchise,Action,DS,Konami,Konami
36,2009,Undefined Franchise,Action,PS2,Activision,MTO
37,2004,Undefined Franchise,Misc,GC,Nintendo,Namco
38,2011,Undefined Franchise,Adventure,DS,nan,Easy Interactive
39,2020,Undefined Franchise,Misc,PC,Activision,nan
40,1999,Undefined Franchise,Role-Playing,PC,04-Aug,07th Expansion
41,2004,Undefined Franchise,Misc,GBA,Majesco,Majesco Games
42,1997,Undefined Franchise,Simulation,PS,Human Entertainment,Human Entertainment
43,2006,Undefined Franchise,Simulation,PS2,Konami,Konami Computer Entertainment Tokyo
44,1996,Undefined Franchise,Shooter,PS,Midway Games,07th Expansion
45,2017,Undefined Franchise,Role-Playing,PS4,Bandai Namco Entertainment,07th Expansion
46,2009,Undefined Franchise,Adventure,DS,DreamCatcher Interactive,Tivola
