,Estimated_Sales
6224,0.34
16210,0.04
16634,0.03
9893,0.16
16552,0.03
18618,0.01
7191,0.27
6385,0.32
17877,0.02
7861,0.24
19289,0.01
17012,0.03
14311,0.06
12514,0.1
11244,0.13
5453,0.4
20496,0.0
11986,0.11
2003,1.17
5687,0.38
16381,0.03
7852,0.24
14708,0.06
4877,0.46
2864,0.84
16254,0.04
12285,0.1
4639,0.49
606,2.87
14368,0.06
7882,0.24
3707,0.63
2527,0.96
7676,0.25
44,14.17
17656,0.02
5226,0.43
1981,1.18
17448,0.02
18803,0.01
9626,0.17
7885,0.24
6490,0.32
2308,1.04
3268,0.72
18583,0.01
18318,0.02
10376,0.15
19440,0.01
3169,0.75
16270,0.04
3023,0.79
6307,0.33
14729,0.06
2053,1.14
4519,0.51
4691,0.48
6243,0.33
17144,0.03
13461,0.08
13804,0.07
9960,0.16
20239,0.0
16740,0.03
17482,0.02
5388,0.41
3931,0.59
10525,0.14
20201,0.0
2450,0.99
5888,0.37
8610,0.21
12750,0.09
19779,0.01
15334,0.05
12694,0.09
15767,0.04
2265,1.06
5570,0.39
18262,0.02
11579,0.12
3434,0.68
17777,0.02
11744,0.11
9985,0.16
14402,0.06
1911,1.21
14550,0.06
744,2.48
7300,0.27
1077,1.9
20964,0.0
9989,0.16
503,3.27
12076,0.11
19909,0.0
11983,0.11
14016,0.07
1371,1.59
20701,0.0
4197,0.55
19288,0.01
6003,0.36
8262,0.22
18762,0.01
19991,0.0
1815,1.27
19006,0.01
13024,0.09
10734,0.14
16685,0.03
19000,0.01
19534,0.01
3721,0.62
14866,0.05
3386,0.7
8542,0.21
4159,0.56
6039,0.35
4844,0.47
5502,0.4
20555,0.0
9872,0.16
14094,0.07
19108,0.01
4186,0.55
6934,0.29
13298,0.08
9325,0.18
15536,0.04
15338,0.05
18497,0.01
563,3.0
2152,1.1
5916,0.36
5927,0.36
17271,0.02
3689,0.63
19630,0.01
17947,0.02
4072,0.57
11299,0.12
3836,0.6
10059,0.16
8126,0.23
13302,0.08
21116,0.0
11266,0.12
17670,0.02
19004,0.01
3886,0.59
13776,0.07
6045,0.35
11201,0.13
8139,0.23
12319,0.1
4852,0.46
6831,0.29
8986,0.19
2714,0.89
19660,0.01
11146,0.13
5809,0.37
6332,0.33
718,2.54
2608,0.93
19884,0.0
19631,0.01
2501,0.97
1097,1.88
11643,0.12
19075,0.01
8509,0.21
11253,0.13
2647,0.91
3045,0.78
1272,1.68
9606,0.17
3323,0.71
10613,0.14
843,2.28
7794,0.24
9701,0.17
12281,0.1
344,4.17
12398,0.1
8833,0.2
6068,0.35
2915,0.82
11863,0.11
8366,0.22
9240,0.18
16101,0.04
6946,0.29
14370,0.06
18107,0.02
2579,0.94
10262,0.15
10031,0.16
13901,0.07
5743,0.38
14340,0.06
17490,0.02
15809,0.04
14515,0.06
9790,0.17
4410,0.52
17982,0.02
15056,0.05
5293,0.42
447,3.52
11388,0.12
6440,0.32
7870,0.24
14105,0.07
408,3.71
18509,0.01
5928,0.36
12114,0.11
8292,0.22
1427,1.53
16621,0.03
9987,0.16
6682,0.3
6417,0.32
19008,0.01
20305,0.0
208,5.5
18731,0.01
5477,0.4
3376,0.7
6603,0.31
856,2.25
15608,0.04
20426,0.0
17424,0.02
13809,0.07
10448,0.15
13769,0.07
6624,0.31
20652,0.0
20170,0.0
12566,0.1
8109,0.23
13101,0.08
19365,0.01
19382,0.01
5394,0.41
10072,0.16
6098,0.35
1311,1.65
5421,0.41
19388,0.01
2090,1.13
13483,0.08
7542,0.26
12649,0.09
9068,0.19
6315,0.33
11993,0.11
20449,0.0
5306,0.42
20883,0.0
2386,1.0
4504,0.51
14991,0.05
2710,0.89
13220,0.08
8673,0.2
18046,0.02
19994,0.0
9745,0.17
20578,0.0
9000,0.19
1328,1.63
10422,0.15
2238,1.07
7700,0.25
16748,0.03
10598,0.14
16202,0.04
19181,0.01
4980,0.45
9534,0.17
1962,1.19
9138,0.19
7998,0.24
10914,0.13
19314,0.01
16471,0.03
6714,0.3
7486,0.26
3472,0.67
14066,0.07
10865,0.13
2930,0.81
3171,0.75
5802,0.37
9052,0.19
2457,0.99
16679,0.03
