Rank,Name,basename,Platform,Publisher,Developer,Year,Estimated_Sales
1,Wii Sports,wii-sports,Wii,Nintendo,Nintendo EAD,2006.0,82.86
2,Super Mario Bros.,super-mario-bros,NES,Nintendo,Nintendo EAD,1985.0,40.24
3,Mario Kart Wii,mario-kart-wii,Wii,Nintendo,Nintendo EAD,2008.0,37.14
4,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,PC,PUBG Corporation,PUBG Corporation,2017.0,36.6
5,Wii Sports Resort,wii-sports-resort,Wii,Nintendo,Nintendo EAD,2009.0,33.09
6,Pokemon Red / Green / Blue Version,pokmon-red,GB,Nintendo,Game Freak,1998.0,31.38
7,New Super Mario Bros.,new-super-mario-bros,DS,Nintendo,Nintendo EAD,2006.0,30.8
8,Tetris,tetris,GB,Nintendo,Bullet Proof Software,1989.0,30.26
9,New Super Mario Bros. Wii,new-super-mario-bros-wii,Wii,Nintendo,Nintendo EAD,2009.0,30.22
10,Minecraft,minecraft,PC,Mojang,Mojang AB,2010.0,30.01
11,Duck Hunt,duck-hunt,NES,Nintendo,Nintendo R&D1,1985.0,28.31
12,Wii Play,wii-play,Wii,Nintendo,Nintendo EAD,2007.0,28.02
13,Kinect Adventures!,kinect-adventures,X360,Microsoft Game Studios,Good Science Studio,2010.0,24.0
14,Nintendogs,nintendogs,DS,Nintendo,Nintendo EAD,2005.0,23.96
15,Mario Kart DS,mario-kart-ds,DS,Nintendo,Nintendo EAD,2005.0,23.6
16,Pokemon Gold / Silver Version,pokmon-gold,GB,Nintendo,Game Freak,2000.0,23.1
17,Wii Fit,wii-fit,Wii,Nintendo,Nintendo EAD,2008.0,22.67
18,Wii Fit Plus,wii-fit-plus,Wii,Nintendo,Nintendo EAD,2009.0,21.13
19,Super Mario World,super-mario-world,SNES,Nintendo,Nintendo EAD,1991.0,20.61
20,Grand Theft Auto V,grand-theft-auto-v,PS3,Rockstar Games,Rockstar North,2013.0,20.32
21,Grand Theft Auto V,grand-theft-auto-v,PS4,Rockstar Games,Rockstar North,2014.0,19.39
22,Brain Age: Train Your Brain in Minutes a Day,brain-age-train-your-brain-in-minutes-a-day,DS,Nintendo,Nintendo SDD,2006.0,19.01
23,Garry's Mod,garrys-mod,PC,,Team Garry,2004.0,18.58
24,Super Mario Land,super-mario-land,GB,Nintendo,Nintendo R&D1,1989.0,18.14
25,Mario Kart 7,mario-kart-7,3DS,Nintendo,Nintendo EAD / Retro Studios,2011.0,18.11
26,Pokemon Diamond / Pearl Version,pokmon-diamond,DS,Nintendo,Game Freak,2007.0,17.67
27,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,PS2,Rockstar Games,Rockstar North,2004.0,17.3
28,Super Mario Bros. 3,super-mario-bros-3,NES,Nintendo,Nintendo R&D2,1990.0,17.28
29,Pokemon X/Y,pokmon-x,3DS,Nintendo,Game Freak,2013.0,16.37
30,Pokemon Ruby / Sapphire Version,pokmon-ruby,GBA,Nintendo,Game Freak,2003.0,16.22
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,PS2,Rockstar Games,Rockstar North,2002.0,16.15
32,Pokemon Sun/Moon,pokmon-sun,3DS,Nintendo,Game Freak,2016.0,16.14
33,Grand Theft Auto V,grand-theft-auto-v,X360,Rockstar Games,Rockstar North,2013.0,15.86
34,Pokemon Black / White Version,pokmon-black,DS,Nintendo,Game Freak,2011.0,15.64
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,PS4,Activision,Treyarch,2015.0,15.09
36,Mario Kart 8 Deluxe,mario-kart-8-deluxe,NS,Nintendo,Nintendo EPD,2017.0,15.02
37,Counter-Strike: Source,counter-strike-source,PC,VU Games,Valve Software,2004.0,15.0
38,Sonic the Hedgehog,sonic-the-hedgehog,GEN,Sega,Sonic Team,1991.0,15.0
39,Gran Turismo 3: A-Spec,gran-turismo-3-a-spec,PS2,Sony Computer Entertainment,Polyphony Digital,2001.0,14.89
40,Brain Age 2: More Training in Minutes a Day,brain-age-2-more-training-in-minutes-a-day,DS,Nintendo,Nintendo SDD,2007.0,14.88
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,X360,Activision,Infinity Ward,2011.0,14.82
42,Call of Duty: Black Ops,call-of-duty-black-ops,X360,Activision,Treyarch,2010.0,14.74
43,Pokemon Yellow: Special Pikachu Edition,pokemon-yellow-special-pikachu-edition,GB,Nintendo,Game Freak,1999.0,14.64
44,Halo 3,halo-3,X360,Microsoft Game Studios,Bungie Studios,2007.0,14.5
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,pokmon-omega-ruby,3DS,Nintendo,Game Freak,2014.0,14.17
46,Red Dead Redemption 2,red-dead-redemption-2,PS4,Rockstar Games,Rockstar Games,2018.0,13.94
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,X360,Activision,Treyarch,2012.0,13.86
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,PS3,Activision,Treyarch,2012.0,13.8
49,Super Mario Odyssey,super-mario-odyssey,NS,Nintendo,Nintendo EPD,2017.0,13.76
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,X360,Activision,Infinity Ward,2009.0,13.53
51,Call of Duty: WWII,call-of-duty-wwii,PS4,Activision,Sledgehammer Games,2017.0,13.4
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,PS3,Activision,Infinity Ward,2011.0,13.35
53,Super Smash Bros. Brawl,super-smash-bros-brawl,Wii,Nintendo,Project Sora,2008.0,13.29
54,Grand Theft Auto III,grand-theft-auto-iii,PS2,Rockstar Games,DMA Design,2001.0,13.1
55,New Super Mario Bros. 2,new-super-mario-bros-2,3DS,Nintendo,Nintendo,2012.0,13.08
56,Portal 2,portal-2,PC,Valve,Valve Software,2011.0,13.06
57,Minecraft,minecraft,X360,Microsoft Studios,Mojang,2013.0,13.0
58,Super Mario Galaxy,super-mario-galaxy,Wii,Nintendo,Nintendo EAD Tokyo,2007.0,12.78
59,Pokemon Heart Gold / Soul Silver Version,pokmon-heart-gold,DS,Nintendo,Game Freak,2010.0,12.72
60,Call of Duty: Black Ops,call-of-duty-black-ops,PS3,Activision,Treyarch,2010.0,12.67
61,Grand Theft Auto V,grand-theft-auto-v,PC,Rockstar Games,Rockstar North,2015.0,12.6
62,Super Mario 3D Land,super-mario-3d-land,3DS,Nintendo,Nintendo EAD Tokyo,2011.0,12.41
63,Animal Crossing: New Leaf,animal-crossing-new-leaf,3DS,Nintendo,Nintendo EAD,2013.0,12.1
64,Super Smash Bros. Ultimate,super-smash-bros-ultimate,NS,Nintendo,Bandai Namco Games,2018.0,12.08
65,Diablo III,diablo-iii,PC,Blizzard Entertainment,Blizzard Entertainment,2012.0,12.0
66,Pokemon FireRed / LeafGreen Version,pokmon-firered,GBA,Nintendo,Game Freak,2004.0,12.0
67,Gran Turismo 5,gran-turismo-5,PS3,Sony Computer Entertainment,Polyphony Digital,2010.0,11.95
68,Super Mario 64,super-mario-64,N64,Nintendo,Nintendo EAD,1996.0,11.91
69,FIFA 18,fifa-18,PS4,EA Sports,EA Vancouver,2017.0,11.8
70,Gran Turismo 4,gran-turismo-4,PS2,Sony Computer Entertainment,Polyphony Digital,2005.0,11.76
71,Animal Crossing: Wild World,animal-crossing-wild-world,DS,Nintendo,Nintendo EAD,2005.0,11.75
72,The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,NS,Nintendo,Nintendo EPD,2017.0,11.68
73,Super Mario Land 2: 6 Golden Coins,super-mario-land-2-6-golden-coins,GB,Nintendo,Nintendo R&D1,1992.0,11.18
74,Grand Theft Auto IV,grand-theft-auto-iv,X360,Rockstar Games,Rockstar North,2008.0,11.09
75,Super Mario 64 DS,super-mario-64-ds,DS,Nintendo,Nintendo EAD,2004.0,11.06
76,Terraria,terraria,PC,505 Games,Re-Logic,2011.0,11.0
77,FIFA 17,fifa-17,PS4,Electronic Arts,EA Canada,2016.0,10.94
78,Gran Turismo,gran-turismo,PS,Sony Computer Entertainment,Polyphony Digital,1998.0,10.85
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,PS3,Activision,Infinity Ward,2009.0,10.61
80,Grand Theft Auto IV,grand-theft-auto-iv,PS3,Rockstar Games,Rockstar North,2008.0,10.57
81,Super Mario All-Stars,super-mario-all-stars,SNES,Nintendo,Nintendo EAD,1993.0,10.55
82,Call of Duty: Ghosts,call-of-duty-ghosts,X360,Activision,Infinity Ward,2013.0,10.41
83,Just Dance 3,just-dance-3,Wii,Ubisoft,Ubisoft Paris,2011.0,10.14
84,Call of Duty: Ghosts,call-of-duty-ghosts,PS3,Activision,Infinity Ward,2013.0,10.13
85,Horizon: Zero Dawn,horizon-zero-dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,2017.0,10.0
86,"Pokemon: Let's Go, Pikachu/Eevee"," pikachueevee""",NS,Nintendo,Game Freak,2018.0,10.0
87,RollerCoaster Tycoon 3,rollercoaster-tycoon-3,PC,Atari,Frontier Developments,2004.0,10.0
88,Halo: Reach,halo-reach,X360,Microsoft Game Studios,Bungie,2010.0,9.97
89,Portal,portal,PC,Valve Corporation,Valve Software,2008.0,9.97
90,Halo 4,halo-4,X360,Microsoft Studios,343 Industries,2012.0,9.96
91,Final Fantasy VII,final-fantasy-vii,PS,Sony Computer Entertainment,SquareSoft,1997.0,9.9
92,Mario Kart 64,mario-kart-64,N64,Nintendo,Nintendo EAD,1997.0,9.87
93,StarCraft,starcraft,PC,Blizzard Entertainment,Blizzard Entertainment,1998.0,9.5
94,Super Smash Bros. for 3DS,super-smash-bros-for-3ds,3DS,Nintendo,Bandai Namco Games,2014.0,9.45
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,X360,Activision,Infinity Ward,2007.0,9.41
96,Gran Turismo 2,gran-turismo-2,PS,Sony Computer Entertainment,Polyphony Digital,1999.0,9.37
97,Wii Party,wii-party,Wii,Nintendo,"Nd Cube Co., Ltd.",2010.0,9.32
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,PS4,Activision,Treyarch,2018.0,9.32
